"ano";"mes";"forma_de_apoio";"produto";"instrumento_financeiro";"inovacao";"porte_de_empresa";"regiao";"uf";"municipio";"municipio_codigo";"setor_cnae";"subsetor_cnae_agrupado";"setor_bndes";"subsetor_bndes";"desembolsos_reais"
2026;2;"INDIRETA";"BNDES AUTOMÁTICO";"LINHA CRÉDITO PEQUENAS E MÉDIAS EMPRESAS";"NÃO";"PEQUENA";"NORTE";"AMAZONAS";"PARINTINS";1303403;"COMÉRCIO E SERVIÇOS";"COMÉRCIO";"COMÉRCIO E SERVIÇOS";"COMÉRCIO E SERVIÇOS";"417000,0"
2026;3;"INDIRETA";"BNDES FINAME";"MATERIAIS INDUSTRIALIZADOS";"NÃO";"MÉDIA";"SUDESTE";"SAO PAULO";"SANTO ANDRE";3547809;"INDÚSTRIA DE TRANSFORMAÇÃO";"CONFEC, VESTUÁRIO E ACESSÓRIOS";"INDUSTRIA";"TÊXTIL E VESTUÁRIO";"417000,0"
2026;2;"INDIRETA";"BNDES FINAME";"PROGRAMA BNDES RENOVA FROTA";"NÃO";"MÉDIA";"SUDESTE";"RIO DE JANEIRO";"SANTO ANTONIO DE PADUA";3304706;"COMÉRCIO E SERVIÇOS";"TRANSPORTE TERRESTRE";"INFRAESTRUTURA";"TRANSPORTE RODOVIÁRIO";"416710,0"
2026;1;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"PEQUENA";"SUDESTE";"ESPIRITO SANTO";"LINHARES";3203205;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"416702,35"
2026;1;"INDIRETA";"BNDES FINAME";"MODERFROTA";"NÃO";"MÉDIA";"SUDESTE";"SAO PAULO";"ITAI";3521804;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"416500,0"
2026;2;"INDIRETA";"BNDES AUTOMÁTICO";"LINHA CRÉDITO PEQUENAS E MÉDIAS EMPRESAS";"NÃO";"PEQUENA";"SUL";"PARANA";"CAMPO MOURAO";4104303;"COMÉRCIO E SERVIÇOS";"INFORMAÇÃO E COMUNICAÇÃO";"COMÉRCIO E SERVIÇOS";"COMÉRCIO E SERVIÇOS";"416270,0"
2026;1;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"PEQUENA";"SUL";"PARANA";"RONCADOR";4122503;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"416270,0"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"MICRO";"SUDESTE";"MINAS GERAIS";"BOA ESPERANCA";3107109;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"416200,0"
2026;1;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF CUSTEIO";"NÃO";"MICRO";"SUL";"RIO GRANDE DO SUL";"NOVA CANDELARIA";4313011;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"416165,92"
2026;3;"INDIRETA";"BNDES AUTOMÁTICO";"PRONAF INVESTIMENTO";"NÃO";"PEQUENA";"SUDESTE";"ESPIRITO SANTO";"MIMOSO DO SUL";3203403;"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"AGROPECUÁRIA";"416125,4"
